City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Flinders,AU,66.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
403,Nazret,ET,63.19,scattered clouds,8.55,39.2667,Liben Guesthouse
404,Waipawa,NZ,64.63,clear sky,-41.4122,175.5153,Tora Coastal Walk
406,Huanta,PE,57.07,overcast clouds,-12.9333,-74.25,GRAN HOTEL IMPERIAL
408,Urumqi,CN,68.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
412,Lincoln,US,73.31,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
413,Sao Joao Da Barra,BR,66.96,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
414,Shingu,JP,70.32,overcast clouds,33.7333,135.9833,Shingu UI Hotel
416,Nagorsk,RU,40.64,overcast clouds,59.3172,50.8078,Uyutnyy Dom
419,Loncoche,CL,43.92,overcast clouds,-39.3667,-72.6333,Hostal y Restaurant Ruta del Copihue
420,Gazanjyk,TM,66.42,clear sky,39.2446,55.5154,Railway motel
425,Pacific Grove,US,66.54,clear sky,36.6177,-121.9166,Lovers Point Inn
426,Platanos,GR,64.08,clear sky,37.6667,21.6167,Hotel Kronio
427,Ribas Do Rio Pardo,BR,47.97,clear sky,-20.4431,-53.7592,Pousada Avenida
428,Juneau,US,55.4,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
430,Codrington,AU,56.05,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
431,Bilibino,RU,36.27,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
432,Maxixe,MZ,70.09,overcast clouds,-23.8597,35.3472,Oceano
437,Lerwick,GB,48.2,broken clouds,60.1545,-1.1494,The Lerwick Hotel
439,Smirnykh,RU,55.8,overcast clouds,49.75,142.8333,Tsentral'naya
440,Deputatskiy,RU,28.08,overcast clouds,69.3,139.9,Baza Otdykha
443,Manzhouli,CN,68.29,overcast clouds,49.6,117.4333,Angala International Youth Hostel
445,Pozoblanco,ES,61.99,clear sky,38.3791,-4.8483,Hotel Nomada
446,Tazmalt,DZ,69.15,clear sky,36.3868,4.3989,Hôtel Numédia
447,Marfino,RU,46.31,clear sky,55.7028,37.3822,Nemchinovka-Park
448,Roma,US,55.09,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
451,Sao Francisco,BR,66.51,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
453,Labrea,BR,69.98,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
454,Palora,EC,64.83,overcast clouds,-1.7,-77.9333,Rancho grande
456,Irbil,IQ,66.02,clear sky,36.1926,44.0106,Erbil International Hotel
457,Sambava,MG,74.61,moderate rain,-14.2667,50.1667,Melrose
458,Rocha,UY,55.26,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
459,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
460,Rabo De Peixe,PT,58.51,few clouds,37.8,-25.5833,Quinta das Giestas
462,Cidreira,BR,53.04,overcast clouds,-30.1811,-50.2056,Hotel Castelo
467,Valparaiso,CL,53.47,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
469,Boguchany,RU,72.54,few clouds,58.3814,97.4531,Uyut
474,Antigonish,CA,53.78,few clouds,45.6169,-61.9986,Claymore Inn and Suites
475,Guerrero Negro,MX,61.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
477,Ahipara,NZ,66.56,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
478,Glenwood Springs,US,74.21,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
479,Wenling,CN,67.17,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
481,Grindavik,IS,49.95,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
482,Andenes,NO,39.18,mist,69.3143,16.1194,Hotell Marena
484,Viseu,PT,57.74,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
485,Vilyuysk,RU,44.01,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
486,Burnie,AU,53.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
487,Methoni,GR,68.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
491,Peleduy,RU,62.29,overcast clouds,59.6289,112.7406,Гостиница «Уют»
492,Pangody,RU,36.73,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
493,Glossa,GR,64.09,clear sky,35.4717,23.7763,Elia Hotel & Spa
496,Rio Gallegos,AR,42.85,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
497,Sol-Iletsk,RU,47.66,light rain,51.1631,54.9918,Raduzhnaya
498,Lagoa,PT,57.74,overcast clouds,39.05,-27.9833,Casa Das Faias
501,Verkhnetulomskiy,RU,32.13,light snow,68.6073,31.7962,Отель Уют
502,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
503,Sehithwa,BW,60.8,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
506,Ingham,US,58.23,clear sky,42.6,-84.3833,Sunset Mobile Home Park
507,Takab,IR,47.55,clear sky,36.4009,47.1133,نانوایی جواد
508,Lompoc,US,66.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
510,Villazon,BO,36.57,broken clouds,-22.0866,-65.5942,La Candelaria
511,Igrim,RU,41.25,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
512,Husavik,IS,48.7,overcast clouds,66.0449,-17.3389,Bjarnabúð
513,Dudinka,RU,42.62,light rain,69.4058,86.1778,Hotel Viktoria
514,Lagoa Vermelha,BR,39.52,overcast clouds,-28.2086,-51.5258,Hotel Kaianã
516,Kruisfontein,ZA,67.59,clear sky,-34.0033,24.7314,Oyster Bay House Rental
517,Sydney Mines,CA,53.19,fog,46.2367,-60.2177,At The Harbourfront B&B Inc
519,Monte Alegre,BR,74.73,broken clouds,-2.0078,-54.0692,Hotel Shekinah
520,Qasigiannguit,GL,30.45,few clouds,68.8193,-51.1922,Almost HOME
522,Mahon,ES,63.16,clear sky,39.8885,4.2658,ARTIEM Capri
524,Altamont,US,69.64,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
