City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Lasa,IT,46.6166,10.7002,61.68,83,30,4.79,scattered clouds
299,Mahibadhoo,MV,3.7833,72.9667,82.33,81,95,22.06,overcast clouds
300,Payo,ID,-3.7508,103.6372,83.35,71,64,1.52,broken clouds
301,Tura,IN,25.5198,90.2201,76.91,94,80,6.55,broken clouds
302,Beloha,MG,-25.1667,45.05,66.18,80,4,12.17,clear sky
303,Xining,CN,36.6167,101.7667,59.76,42,100,3.76,overcast clouds
304,Kapuskasing,CA,49.4169,-82.4331,51.89,40,0,5.75,clear sky
305,Carutapera,BR,-1.195,-46.02,76.32,92,49,5.64,scattered clouds
306,Lata,PT,40.1629,-8.3327,60.93,98,100,1.41,overcast clouds
307,Zyryanka,RU,65.75,150.85,44.08,65,100,4.85,overcast clouds
308,Norwich,GB,52.6278,1.2983,62.26,80,54,8.05,broken clouds
309,Broome,US,42.2506,-75.833,53.65,72,0,5.75,clear sky
310,Gravdal,NO,68.1214,13.5031,41.49,94,100,8.93,overcast clouds
311,Dawlatabad,AF,36.4141,64.9053,79.45,21,74,4.76,broken clouds
312,Cassilandia,BR,-19.1133,-51.7342,48.18,59,39,4.41,scattered clouds
313,Bardiyah,LY,31.7561,25.0865,68.54,49,0,5.77,clear sky
314,Maragogi,BR,-9.0122,-35.2225,76.95,84,81,5.19,broken clouds
315,Sangar,RU,63.9242,127.4739,41.54,79,97,5.61,overcast clouds
316,Hailar,CN,49.2,119.7,70.32,20,53,12.5,broken clouds
317,Katobu,ID,-4.9408,122.5276,83.01,79,83,1.72,broken clouds
318,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.01,few clouds
319,Norman Wells,CA,65.282,-126.8329,57.24,47,75,8.05,broken clouds
320,Harper,LR,4.375,-7.7169,79.7,82,79,7.67,broken clouds
321,Mount Isa,AU,-20.7333,139.5,78.57,50,1,10.36,clear sky
322,Eureka,US,40.8021,-124.1637,58.35,75,100,11.86,overcast clouds
323,Kalabo,ZM,-14.97,22.6814,59.56,71,65,5.66,broken clouds
324,Asosa,ET,10.0667,34.5333,64.96,71,17,3.96,few clouds
325,Qaqortoq,GL,60.7167,-46.0333,33.75,87,80,4.21,broken clouds
326,Kansanshi,ZM,-12.0951,26.4273,56.44,79,86,4.79,overcast clouds
327,Abnub,EG,27.2696,31.1511,71.82,35,0,9.37,clear sky
328,Kloulklubed,PW,7.0419,134.2556,75.7,76,100,14.85,overcast clouds
329,Maceio,BR,-9.6658,-35.7353,76.44,88,20,4.61,few clouds
330,Margate,GB,51.3813,1.3862,60.69,83,25,3.0,scattered clouds
331,Bonavista,CA,48.6499,-53.1147,39.94,83,100,18.21,overcast clouds
332,Twin Falls,US,42.3505,-114.6445,69.69,28,0,17.27,clear sky
333,Filadelfia,US,39.9523,-75.1638,73.29,41,20,12.66,few clouds
334,Terrace Bay,CA,48.7834,-87.1,37.56,81,100,5.95,overcast clouds
335,Sorong,ID,-0.8833,131.25,83.62,72,66,3.78,broken clouds
336,Te Anau,NZ,-45.4167,167.7167,52.34,79,89,7.9,light rain
337,Isangel,VU,-19.55,169.2667,80.37,74,88,17.49,overcast clouds
338,Yauya,PE,-8.9833,-77.3,46.08,88,100,1.7,overcast clouds
339,Inhambane,MZ,-23.865,35.3833,71.01,79,97,8.81,overcast clouds
340,Tucupita,VE,9.0622,-62.051,75.18,98,83,4.38,broken clouds
341,Ngunguru,NZ,-35.6167,174.5,64.94,96,100,3.0,light rain
342,Portland,US,45.5234,-122.6762,66.52,41,100,3.0,overcast clouds
343,Goderich,CA,43.7501,-81.7165,46.72,76,0,5.75,clear sky
344,Araouane,ML,18.9048,-3.5265,83.82,8,0,8.14,clear sky
345,Banapur,IN,19.7833,85.1833,86.25,75,53,6.67,broken clouds
